"chain_number","name"
"60_Rock_Bottom_Kitchen_Plus_Bar","Rock Bottom Kitchen + Bar - Bangsar"
"60_Chatime","Chatime - Berjaya Times Square"
"60_Inside_Scoop","Inside Scoop - The Gardens"
"60_Brownies_Bar_By_The_Accidental_Bakers","Brownies Bar by The Accidental Bakers - The Gardens"
"60_Kreate_Takeout","Kreate Takeout - Prince Court"
"60_Wrappe","Wrappe - The Linc"
"60_Kurin","Kurin"
"60_Saba_Town","Saba Town - Quill City Mall"
"60_Pezzo","Pezzo - Mid Valley"
"60_Soul_Sacrifice","Soul Sacrifice"
"60_Ayam_Penyet_Best","Ayam Penyet Best - Quill City Mall"
"60_Arabian_Island","Arabian Island - Subang Jaya"
"60_Restoran_Al_Sarifa","Restoran Al Sarifa - Bandar Utama"
"60_Pasta_La_Pasta","Pasta La Pasta - Tapak Urban Street Dining"
"60_Mac_Shack","Mac Shack - USJ"
"60_Ayn_ZamZam_Restaurant","Ayn ZamZam Restaurant - Kota Damansara"
"60_Chatime","Chatime - MyTown"
"60_Chatime","Chatime - KL Sentral"
"60_Wok_It","Wok It - SS15"
"60_Restoran_Al_Sarifa","Restoran Al Sarifa - Taman Danau Desa"
"60_Restoran_Al_Sarifa","Restoran Al Sarifa - Pandan Jaya"
"60_Dream_Color","Dream Color - 1Utama"
"60_Krispy_Kreme","Krispy Kreme - Mid Valley"
"60_Yarl_Restaurant","Yarl Restaurant - Bangsar"
"60_Restoran_Anwar_Maju","Restoran Anwar Maju - Subang Jaya"
"60_Roasted_Chef_House","Roasted Chef House [Non-Halal]"
"60_Retro_Kitchen","Retro Kitchen [Non-Halal]"
"60_Sanaa_Restaurant","Sanaa Restaurant"
"60_Zaman_Dairy_Fresh","Zaman Dairy Fresh - New Town"
"60_Bisou_Bake_Shop","Bisou Bake Shop - Avenue K"
"60_Boran_Classic_Thai_Street_Food","Boran - Classic Thai Street Food - SS14 [Non-Halal]"
"60_Madinah_Cafe","Madinah Cafe"
"60_Restoran_Mai_Thai","Restoran Mai Thai - Taman Desa"
"60_2_Sneks","2 Sneks - Little Susan"
"60_Dining_Bowl_Vege_Cuisine_Cafe","Dining Bowl Vege Cuisine Cafe"
"60_Porki_Society","The Porki Society [Non-Halal]"
"60_Restaurant_Syed_Bistro","Restaurant Syed Bistro - SS6"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Berjaya Times Square"
"60_Sushi_Go","Sushi Go"
"60_Restaurant_Hadramawt_Kingdom","Restaurant Hadramawt Kingdom"
"60_Pizza_Cottage","Pizza Cottage - Taylor's Lakeside"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Berjaya Times Square"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Setapak Central"
"60_La_Juiceria_Superfoods","La Juiceria Superfoods - SS18 Subang"
"60_La_Juiceria_Superfoods","La Juiceria Superfoods - Verve Shops"
"60_Vivo_Pizza","Vivo Pizza - Berjaya Time Square"
"60_Restaurant_Awwal_Maju","Restaurant Awwal Maju"
"60_Salon_Du_Chocolat","Salon Du Chocolat - Quill City"
