"chain_number","name"
"","น้อย หมู อีสานรสเด็ด - ถนนอิสรภาพ"
"","Kaow Mun Kai Nai Tong (ข้าวมันไก่นายธง) - ถนนโพธิ์แก้ว"
"","Latte Man Coffee (ลาเต้ แมน คอฟฟี่) - ถนนดินแดง"
"JimsBurger","Jim's Burger (จิม เบอร์เกอร์) - อารีย์"
"","เป๋โภชนา - ถนนประเสริฐมนูกิจ"
"","อิ่มเอมสเต็กเฮาส์ - ศูนย์อาหารเกกีงาม 4"
"","เทียมฟ้า - ถนนรามคำแหง"
"Dunkin","Dunkin' (ดังกิ้น) - เทสโก้ โลตัส คำเที่ยง"
"","Coffee Mint Café (คอฟฟี่ มินท์ คาเฟ่) - ถนนสายไหม"
"","ส้มตำข้าวมันไก่แสงเจริญ - ถนนเลี่ยงเมืองนนทบุรี"
"Joke_Bangkok","โจ๊กบางกอก - ดอนเมือง"
"","เป็ดย่างรสเด็ด - ถนนคู้บอน"
"","Daranee Kai Zab (ดารณีไก่แซ่บ) - ศูนย์อาหารเกกีงาม 2"
"","เจ๊แดง อาหารไทย อีสาน - ถนนเพชรบุรี"
"","ราดหน้าอยู่อี่ - เจริญกรุง"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - พลาซาลากูน วังหิน"
"","เป็ดย่างนายตี๋ - ถนนสามัคคี"
"","พิณริมโขง - ยานนาวา"
"","ส้มตำแยก 4 - ถนนตก"
"","แกงป่าศรีย่าน - ศรีย่าน"
"Tumpa_Dekchay_Nai","ตำป่า ด.ช.นาย - ตลาดนัดกรีนเดย์ไนท์"
"","เพ็ญข้าวหมกไก่ - เสนานิคม 1"
"","แอนชัยเมี่ยงปลาเผา - ถนนลาดกระบัง"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - เล้าเป้งง้วน"
"","ตำกะยำ - อารีย์"
"KFC","KFC (เคเอฟซี) - จามจุรี สแควร์"
"","ก๋วยเตี๋ยวไก่นายเคน - ถนนวิภาวดีรังสิต"
"","ส้มตำไก่ทอดเอเอ - สี่พระยา"
"","Salmonia (แซลมอนเนีย) - เอเวียน วิลเลจ"
"","บัวไหลก๋วยเตี๋ยวต้มยำ - ซอยชมจันทร์"
"","เจ๊เจี่ยเย็นตาโฟ สาขา 2 - สะพานเหลือง"
"True_Coffee","TrueCoffee (ทรูคอฟฟี่) - เทสโก้ โลตัส รามอินทรา"
"","ข้าวต้มปลากิมโป้ (ปากตรอกจันทน์) - เจริญกรุง"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - เสริมมิตร ทาวเวอร์"
"Tummour","Tummour (ตำมั่ว) - บิ๊กซี ราชดำริ"
"","ขาหมูเหม่งจ๋าย - ประชาอุทิศ"
"","Suksawat Coffee (สุขสวัสดิ์ คอฟฟี่) - ถนนวิทยุ"
"","ตี๋อ้วน เกาเหลาเลือดหมู - ถนนเอกชัย"
"","มิตรโกหย่วน - พระนคร"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - ธัญญาพาร์ค"
"Thai_Terrace","Thai Terrace (ไทย เทอเรส) - รพ.ศิริราช"
"","ลาบ ญ.เล็ก - ถนนเจริญนคร"
"Go_Ang","โกอ่างข้าวมันไก่ประตูน้ำ - โชคชัย 4"
"","พ่อค้าแซ่บแยกสวนผัก - ถนนสวนผัก"
"","Sit Kaidhong (ศิษย์ไก่โต้ง) - รามอินทรา"
