"chain_number","name"
"745_Lao_Hung_Jia_Chicken_Rice","Lao Hung Jia Chicken Rice - Yung Sheng Road"
"746_Lolas_Cafe","Lola's Cafe - Simon Road [Islandwide Delivery]"
"751_Ming_Fa_Fishball","Ming Fa Fishball - Ang Mo Kio"
"2424_Mufiz_Restaurant","Mufiz Restaurant - Tampines"
"753_Madrinaa_Italiano","Madrinaa Italiano - 44 Jalan Merah Saga (#01-60)"
"755_Mini_Wok","Helen's Vegetarian 慈德祥 - Compassvale Street"
"757_Maduras_Restaurant","Madura's Restaurant - Syed Alwi"
"759_Mun_Ting_Xiang_Cha_Xuan","Mun Ting Xiang Cha Xuan - Hougang Green Shopping Mall"
"761_Magic_Wok","Magic Wok - E!Hub@Downtown East [Islandwide Delivery]"
"762_Mun_Ting_Xiang_Teahouse","Mun Ting Xiang Teahouse -  Toa Payoh Entertainment Centre"
"765_Maharajah_Boat_Quay","Maharajah Boat Quay - Dial-A-Curry"
"1752_Napolizz_Pizza_Delivery","Napolizz Pizza Delivery - Joo Chiat"
"770_Ministry_of_Pasta_Grill","Ministry of Pasta & Grill - Lor Lew Lian"
"773_Makai_Poke","Makai Poke - Guoco Tower"
"774_Ministry_of_Rojak","Ministry of Rojak - Northpoint Shopping Centre"
"779_Malaysia_Peddler_Sidewalk","Malaysia Peddler Sidewalk - Jellicoe Road "
"783_Malthouse","Malthouse - East Coast"
"787_MaMa_Thai_Kitchen","MaMa Thai Kitchen - Lau Pa Sat"
"791_Mission_Juice","Mission Juice - Icon Village"
"799_Mitsuba_Japanese_Restaurant","Mitsuba Japanese Restaurant - Central"
"798_Muthus_Curry","Muthu's Curry - Race Course [Islandwide Delivery]"
"2196_Ocean_Seafood","Ocean Seafood - Gangsa Road"
"815_Nene_Chicken","Nene Chicken - Bedok Mall"
"798_Muthus_Curry","Muthu's Curry - Suntec City"
"2196_Ocean_Seafood","Ocean Seafood - Hougang Ave 8"
"2196_Ocean_Seafood","Ocean Seafood - Hougang Ave 10"
"815_Nene_Chicken","Nene Chicken - Nex"
"2196_Ocean_Seafood","Ocean Seafood - Toh Yi Drive"
"815_Nene_Chicken","Nene Chicken - Star Vista"
"822_New_Everest_Kitchen","New Everest Kitchen - Chander Road"
"824_My_Little_Spanish_Place","My Little Spanish Place - Boat Quay"
"827_Ohana_Poke","Ohana Poke - Changi City Point"
"824_My_Little_Spanish_Place","My Little Spanish Place - Bukit Timah"
"832_My_Little_Tapas_Bar","My Little Tapas Bar - Ann Siang Road"
