"chain_number","name"
"DongTienBakery","Đồng Tiến Bakery - Phó Đức Chính"
"","Bún Đậu Ngoáy"
"","Bún Đậu Hương Mơ - Trương Định"
"","MAY Coffee"
"","Tiệm Bánh Âu Bloom Cakes"
"","E Coffee - Ngô Gia Tự"
"CongCaPhe","Cộng Cà Phê - Đường Láng"
"","No Name Coffee"
"TrungNguyenLegend","Trung Nguyên Legend - 101 Đinh Tiên Hoàng"
"","Kem Xôi Chè Thái Bibo"
"PizzaHome","PizzaHome - Đại Cồ Việt"
"NemNuongNhaTrangHat2O","Nem Nướng Nha Trang Hắt 2 Ô - Phan Văn Trường"
"","Cô Quyên Xứ Quảng - Hồ Biểu Chánh"
"PhoCuonHuongMai","Phở Cuốn Hương Mai - Nguyễn Thị Định"
"","Trà Sữa Sushi Viên The Moon"
"","Bún Bò Huế Thu Sương - Khuất Duy Tiến"
"","Phở Bò Minh Tiến - Chiến Thắng"
"","Heritage Chinatown"
"UncleLusCheesecake","Uncle Lu's Cheesecake - Huỳnh Thúc Kháng"
"","Trà Tiên Hưởng - Ngô Tất Tố"
"UncleLusCheesecake","Uncle Lu's Cheesecake - Sư Vạn Hạnh"
"","Quán Bé Tý Xíu Ốc - Ngao - Nem - Chân Gà"
"","Nộm Huế - Đặng Trần Côn"
"","Quán Vịt Thành Béo - Thái Hà"
"","Phở Gà Ta - Phở Trộn Khang Nga Béo - 18 Bạch Đằng"
"Guta","Guta - Nhà Chờ Bến Xe Miền Đông"
"","Cơm Rang - Phở Cồ Gia Truyền - Vũ Tông Phan"
"","Hana - Quán Ăn Hàn Quốc"
"","Vịt Cỏ Vân Đình - Phùng Khoang"
"YuTang","Yu Tang - Chùa Láng"
"TrungNguyenLegend","Trung Nguyên Legend - 133 Nguyễn Huệ"
"HipCafe","Hip Cafe - Tây Sơn"
"","Bún Bò Cay Tám Do"
"","Mumtaz - Hoài Thanh"
"","Quán 48 - Cháo Gà & Vịt"
"SaSinMiCay7CapDoHanQuoc","SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Đặng Văn Bi"
"","Mỳ Quảng Mến"
"CUONNROLL","CUỐN N ROLL - HOÀNG ĐẠO THÚY"
"KoKoGreenKafe","KoKo Green Kafe - Phan Châu Trinh"
"","Love Tea - Sữa Tươi Trân Châu Đường Đen"
"","Quỳnh Đại Lộc - Bánh Tráng Thịt Heo"
"","TUT.noodle"
"","Cơm Sạch Ngũ Vị - Yết Kiêu"
"BunCaNinhHoaGiaoHa","Bún Cá Ninh Hòa Nhẹ - Kỳ Đồng"
"","Bánh Mì Thổ Nhĩ Kỳ 3 Ngon - Hiệp Thành 22"
"","Gà Nướng Anh Tư"
"","Myla Bubble Tea - Đường Số 17"
"","Đặc Sản Huế Hương Giang"
"","Gà Nướng Lu Việt Hương - Chi Nhánh 1 Lê Quang Định"
"","Godiet Salad - Ngõ 62 Nguyễn Chí Thanh"
"","Gà Tươi Mạnh Hoạch - 246 Dương Văn Bé"
"GaManhHoach","Gà Mạnh Hoạch - Trần Duy Hưng"
"","LINKFOOD - 76 Hoàng Đạo Thành"
"","Giấm Tròn Quán"
"","Zucanu - Nước Ép Trái Cây Nguyên Chất"
"","Thế Giới Chè Caramen"
