"chain_number","name"
"TsiboomNativeRestaurant","Tsiboom Native Restaurant - J Centre Mall"
"Joliant","Joliant - Betterliving"
"AboveSeaLevel","Above Sea Level - BF Resort Village"
"PopoysSizzlers","Popoy's Sizzlers - JESA-ITC Building"
"OnoPoke","Ono Poke - The Pantree"
"RodianosSizzlingHouse","Rodianos Sizzling House - BF Resort"
"CafeNamoo","Cafe Namoo - Banilad"
"TheCookbyHongleepark","The Cook by Hongleepark - Bonifacio Global City"
"LechonHaus","Lechon Haus - SM Southmall"
"LotsAPizza","Lots'A Pizza - Vistamall"
"SoruIzakaya","Soru Izakaya - Maginhawa"
"DeanDeLuca","Dean & DeLuca - Rockwell"
"SulbingDessertCafe","Sulbing Dessert Cafe - Gaisano Country Mall"
"Bintana","Bintana Coffee House - Camputhaw"
"","Dohtonbori - Greenhills"
"Sbarro","Sbarro - SM Sucat"
"Shuin","Shuin - Maria Clara Street"
"24Chicken","24 Chicken - Legarda"
"MasterGarden","Master Garden - Tomas Morato"
"RazonsofGuagua","Razon's of Guagua - SM Manila"
"ChooksToGo","Chooks To Go - Purok 3 Upper Bicutan"
"ChooksToGo","Chooks To Go - San Dionisio Paranaque 2"
"ChooksToGo","Chooks To Go - President Avenue Paranaque"
"ChooksToGo","Chooks To Go - Pinagbuhatan Pasig"
"ChooksToGo","Chooks To Go - Pinagsama"
"ChooksToGo","Chooks To Go - J Fajardo Street Sampaloc"
"ChooksToGo","Chooks To Go - Dahlia Street"
"ChooksToGo","Chooks To Go - Metro Point"
"ChooksToGo","Chooks To Go - Binondo"
"ZarksBurgers","Zark's Burgers - Cubao"
"ChooksToGo","Chooks To Go - Manluna Street Villamor Airbase"
"ZarksBurgers","Zark's Burgers - SM Mall of Asia"
"ChooksToGo","Chooks To Go - Palumpong Street Pandacan"
"ChooksToGo","Chooks To Go - Filinvest 3 Batasan Hills"
"HapChanTeaHouse","Hap Chan Tea House - Ayala Malls Feliz"
"BacolodChickenInasal","Bacolod Chicken Inasal - Robinsons Otis"
"GoSalads","Go! Salads - Katipunan"
"GoSalads","Go! Salads - Salamin Building"
"Andoks","Andok's - SBR Road"
